# Raspberry Pi 4B data logger
# start_time,2026-07-30T18:28:40.685974
# num_cameras,2
# test_type,idle_baseline
# notes,30fps na site 3 mesta 720p
# interval_sec,1
# num_cores,4
# power_model,idle=2.7W max=6.4W (estimated, not measured)
#
timestamp,cpu_total_pct,cpu_core0_pct,cpu_core1_pct,cpu_core2_pct,cpu_core3_pct,ram_pct,ram_used_mb,ram_total_mb,cpu_temp_c,cpu_freq_mhz,throttled,net_down_mbps,net_up_mbps,power_est_w
2026-07-30T18:28:41.926262,99.1,100.0,97.3,100.0,99.1,24.8,1661.1,7819.8,77.4,1800.4,False,122.47,130.316,6.37
2026-07-30T18:28:42.983080,98.9,98.2,99.1,98.3,100.0,24.9,1665.0,7819.8,76.4,1800.5,False,92.974,109.658,6.36
2026-07-30T18:28:44.004786,96.7,100.0,94.2,100.0,92.4,25.0,1672.4,7819.8,77.4,1800.4,False,136.908,199.677,6.28
2026-07-30T18:28:45.040768,89.2,95.1,83.2,100.0,78.4,24.9,1670.2,7819.8,75.9,1800.4,False,159.353,231.325,6.0
2026-07-30T18:28:46.059884,76.8,78.0,55.9,98.1,75.2,24.9,1666.8,7819.8,75.4,1800.4,False,179.096,261.835,5.54
2026-07-30T18:28:47.092486,79.5,62.7,72.0,84.2,99.0,24.9,1667.9,7819.8,76.9,1800.5,False,189.032,286.417,5.64
2026-07-30T18:28:48.118426,78.2,65.7,88.2,72.8,86.1,24.9,1672.5,7819.8,77.9,1800.5,False,168.112,243.837,5.59
2026-07-30T18:28:49.130430,76.6,56.0,100.0,50.5,100.0,24.9,1673.0,7819.8,77.9,1800.5,False,164.75,236.108,5.54
2026-07-30T18:28:50.155899,77.9,61.6,100.0,95.0,54.9,24.8,1665.3,7819.8,77.9,1800.5,False,189.312,278.137,5.58
2026-07-30T18:28:51.171587,77.1,100.0,100.0,56.0,52.5,24.8,1663.8,7819.8,76.4,1800.4,False,176.421,267.329,5.55
2026-07-30T18:28:52.181107,77.4,99.0,58.0,90.1,62.6,24.8,1668.7,7819.8,76.9,1800.5,False,178.572,182.348,5.56
